Symptom,commonDrug
胸痛,盐酸左氧氟沙星眼用凝胶
胸痛,依托红霉素颗粒
胸痛,琥乙红霉素片
胸痛,硬脂酸红霉素片
胸痛,通脉颗粒
胸痛,益脉康软胶囊
胸痛,苯磺酸氨氯地平片
胸痛,丹参片
胸痛,单硝酸异山梨酯胶囊
胸痛,辛伐他汀片
胸痛,抗栓胶囊
胸痛,单硝酸异山梨酯胶囊
胸痛,强力康颗粒
胸痛,苦参碱氯化钠注射液
胸痛,臌症丸
胸痛,酒石酸美托洛尔片
胸痛,酒石酸美托洛尔缓释片
胸痛,香砂养胃丸
胸痛,马来酸曲美布汀分散片
胸痛,盐酸克林霉素棕榈酸酯分散片
胸痛,盐酸克林霉素胶囊
胸痛,颠茄口腔崩解片
胸痛,布美他尼片
胸痛,十一味金色丸
胸痛,颠茄片
胸痛,硫酸阿托品片
胸痛,尼可刹米注射液
胸痛,樟脑磺酸钠注射液
胸痛,转移因子口服溶液
胸痛,甲睾酮片
胸痛,蒺藜药酒
胸痛,氨苄西林胶囊
胸痛,依托红霉素片
胸痛,祖师麻片
胸痛,痹祺胶囊
胸痛,双嘧达莫片
胸痛,注射用尿激酶
胸痛,注射用过氧化碳酰胺
胸痛,鲑降钙素注射液
胸痛,治伤胶囊
胸痛,盐酸克林霉素棕榈酸酯干混悬剂
胸痛,盐酸克林霉素胶囊
胸痛,伤科跌打丸
胸痛,跌打丸
胸痛,伤科跌打丸
胸痛,跌打丸
胸痛,平消片
胸痛,强力康颗粒
胸痛,注射用培美曲塞二钠
胸痛,注射用卡铂
胸痛,参志胶囊
胸痛,宁心益智胶囊
胸痛,阿司匹林肠溶胶囊
胸痛,阿司匹林片
胸痛,异烟肼片
胸痛,利福平胶囊
胸痛,注射用培美曲塞二钠
胸痛,注射用卡铂
胸痛,注射用培美曲塞二钠
胸痛,注射用卡铂
胸痛,奥美拉唑肠溶胶囊
胸痛,多潘立酮片
胸痛,复方磺胺甲噁唑片
胸痛,头孢泊肟酯片
胸痛,噻托溴铵粉雾剂
胸痛,氨茶碱片
胸痛,依托红霉素片
胸痛,罗红霉素分散片
胸痛,醋酸泼尼松片
胸痛,清热消炎宁片
胸痛,头孢氨苄胶囊
胸痛,盐酸左氧氟沙星胶囊
胸痛,头孢泊肟酯胶囊
胸痛,头孢氨苄甲氧苄啶片
胸痛,吡喹酮片
胸痛,汉防己甲素片
胸痛,盐酸妥洛特罗片
胸痛,汉防己甲素片
胸痛,盐酸妥洛特罗片
胸痛,硬脂酸红霉素片
胸痛,强力康颗粒
胸痛,苦参碱氯化钠注射液
胸痛,强力康颗粒
胸痛,苦参碱氯化钠注射液
胸痛,强力康颗粒
胸痛,苦参碱氯化钠注射液
胸痛,诺氟沙星胶囊
胸痛,盐酸普萘洛尔片盐酸地尔硫
胸痛,诺氟沙星胶囊
胸痛,硬脂酸红霉素片
胸痛,消癌平片
胸痛,阿魏化痞膏
胸痛,红霉素肠溶片
胸痛,琥乙红霉素颗粒
胸痛,硫唑嘌呤片
胸痛,注射用甲氨蝶呤
胸痛,硫唑嘌呤片
胸痛,注射用甲氨蝶呤
胸痛,平消片
胸痛,注射用顺铂
胸痛,吡喹酮片
胸痛,马洛替酯片
胸痛,头孢氨苄胶囊
胸痛,盐酸左氧氟沙星胶囊
胸痛,通脉颗粒
胸痛,大株红景天胶囊
胸痛,丹参片
胸痛,辛伐他汀片
胸痛,汉防己甲素片
胸痛,盐酸妥洛特罗片
胸痛,阿苯达唑片
胸痛,阿苯达唑胶囊
胸痛,依托红霉素片
胸痛,依托红霉素颗粒
胸痛,转移因子口服溶液
胸痛,甲睾酮片
胸痛,诺氟沙星胶囊
胸痛,康尔心胶囊
胸痛,果糖二磷酸钙片
胸痛,诺氟沙星胶囊
胸痛,头孢氨苄胶囊
胸痛,盐酸左氧氟沙星胶囊
胸痛,乳酸左氧氟沙星片
胸痛,阿奇霉素片
胸痛,头孢氨苄胶囊
胸痛,盐酸左氧氟沙星胶囊
胸痛,呋塞米片
胸痛,结石通茶
胸痛,维生素E软胶囊
胸痛,阿莫西林克拉维酸钾(4:1)分散片
胸痛,回生甘露丸
胸痛,双嘧达莫片
胸痛,注射用尿激酶
胸痛,呋塞米片
胸痛,氨茶碱片
胸痛,盐酸克林霉素棕榈酸酯干混悬剂
胸痛,盐酸克林霉素胶囊
胸痛,川贝枇杷糖浆
胸痛,头孢氨苄胶囊
胸痛,注射用盐酸平阳霉素
胸痛,鱼肝油酸钠注射液
胸痛,异烟肼片
胸痛,利福平胶囊
胸痛,氢氯噻嗪片
胸痛,呋塞米注射液
胸痛,硝酸异山梨酯片
胸痛,阿魏酸钠片
胸痛,吡喹酮片
胸痛,醋酸泼尼松片
胸痛,苯丁酸氮芥片
胸痛,阿苯达唑片
胸痛,吡喹酮片
胸痛,头孢氨苄胶囊
胸痛,盐酸左氧氟沙星胶囊
胸痛,盐酸克林霉素棕榈酸酯干混悬剂
胸痛,盐酸克林霉素胶囊
胸痛,羧甲司坦片
胸痛,小儿珍贝散
胸痛,氟康唑胶囊
胸痛,氟康唑片
胸痛,头孢氨苄胶囊
胸痛,盐酸左氧氟沙星胶囊
胸痛,头孢氨苄胶囊
胸痛,盐酸左氧氟沙星胶囊
胸痛,盐酸克林霉素棕榈酸酯干混悬剂
胸痛,盐酸克林霉素胶囊
胸痛,注射用过氧化碳酰胺
胸痛,盐酸克林霉素棕榈酸酯干混悬剂
胸痛,盐酸克林霉素胶囊
胸痛,蛇胆川贝液
胸痛,异烟肼片
胸痛,甲磺酸阿帕替尼片
胸痛,注射用硫酸长春新碱
胸痛,乳酸左氧氟沙星片
胸痛,阿奇霉素片
胸痛,硫唑嘌呤片
胸痛,注射用甲氨蝶呤
胸痛,盐酸吗啉胍片
胸痛,盐酸金刚烷胺片
胸痛,阿苯达唑片
胸痛,吡喹酮片
胸痛,蛤蚧定喘丸
胸痛,氨茶碱片
胸痛,阿莫西林颗粒
胸痛,克拉霉素分散片
胸痛,地奥司明片
胸痛,双嘧达莫片
胸痛,头孢泊肟酯胶囊
胸痛,头孢氨苄甲氧苄啶片
胸痛,醋酸可的松注射液
胸痛,醋酸可的松片
胸痛,盐酸美他环素片
胸痛,四环素片
胸痛,胸腺肽肠溶片
胸痛,静注人免疫球蛋白(pH4)
胸痛,依托红霉素片
胸痛,罗红霉素分散片
胸痛,注射用培美曲塞二钠
胸痛,注射用卡铂
胸痛,头孢泊肟酯胶囊
胸痛,头孢氨苄甲氧苄啶片
胸痛,硬脂酸红霉素片
胸痛,阿奇霉素片
胸痛,头孢克洛颗粒
胸痛,平消片
胸痛,强力康颗粒
胸痛,赖氨葡锌颗粒
胸痛,葡萄糖酸锌颗粒
胸痛,硬脂酸红霉素片
胸痛,藿香正气片
胸痛,藿香正气丸
胸痛,氟尿嘧啶植入剂
胸痛,消癌平片
胸痛,清肺十八味丸
胸痛,注射用阿洛西林钠
胸痛,乳酸左氧氟沙星片
胸痛,阿奇霉素分散片
胸痛,强力康颗粒
胸痛,注射用氨磷汀
胸痛,头孢氨苄胶囊
胸痛,盐酸左氧氟沙星胶囊
胸痛,甲钴胺分散片
胸痛,平消片
胸痛,注射用顺铂
胸痛,平消片
胸痛,注射用顺铂
胸痛,平消片
胸痛,注射用顺铂
胸痛,己酮可可碱缓释片
胸痛,蛇胆川贝液
胸痛,抗痨颗粒
胸痛,盐酸金刚烷胺片
胸痛,吡拉西坦分散片
胸痛,汉防己甲素片
胸痛,盐酸妥洛特罗片
胸痛,乳酸左氧氟沙星片
胸痛,阿奇霉素片
胸痛,汉防己甲素片
胸痛,盐酸妥洛特罗片
胸痛,维生素C片
胸痛,通脉颗粒
胸痛,大株红景天胶囊
胸痛,心宝丸
胸痛,参仙升脉口服液
胸痛,威麦宁胶囊
胸痛,转移因子口服溶液
胸痛,双嘧达莫片
胸痛,注射用盐酸罂粟碱
胸痛,依托红霉素片
胸痛,琥乙红霉素颗粒
胸痛,乳酸左氧氟沙星片
胸痛,阿奇霉素片
胸痛,头孢氨苄胶囊
胸痛,盐酸左氧氟沙星胶囊
胸痛,威麦宁胶囊
胸痛,转移因子口服溶液
胸痛,苯磺酸氨氯地平胶囊
胸痛,马来酸氨氯地平片
胸痛,盐酸雷尼替丁胶囊
胸痛,兰索拉唑肠溶片
胸痛,硬脂酸红霉素片
胸痛,转移因子口服溶液
胸痛,甲睾酮片
胸痛,抗栓胶囊
胸痛,地奥司明片
胸痛,健心片
胸痛,三磷酸腺苷二钠片
胸痛,胸腺肽肠溶片
胸痛,静注人免疫球蛋白(pH4)
胸痛,蜂胶片
胸痛,非诺贝特片
胸痛,头孢氨苄胶囊
胸痛,盐酸左氧氟沙星胶囊
胸痛,地巴唑片
胸痛,乙酰谷酰胺注射液
胸痛,阿司匹林肠溶胶囊
胸痛,阿司匹林片
胸痛,头孢氨苄胶囊
胸痛,盐酸左氧氟沙星胶囊
胸痛,乳酸左氧氟沙星片
胸痛,阿奇霉素片
胸痛,乳酸左氧氟沙星片
胸痛,阿奇霉素片
胸痛,蛇胆川贝液
胸痛,依托红霉素片
胸痛,乳酸左氧氟沙星片
胸痛,阿奇霉素片
胸痛,注射用过氧化碳酰胺
胸痛,喘嗽宁片
胸痛,祛痰止咳颗粒
胸痛,乳酸左氧氟沙星片
胸痛,诺氟沙星胶囊
胸痛,臌症丸
胸痛,注射用重组人白介素-2
胸痛,抗栓胶囊
胸痛,曲克芦丁片
胸痛,硫唑嘌呤片
胸痛,注射用甲氨蝶呤
胸痛,通脉颗粒
胸痛,大株红景天胶囊
胸痛,注射用过氧化碳酰胺
胸痛,苯丁酸氮芥片
胸痛,复方斑蝥胶囊
胸痛,苯丁酸氮芥片
胸痛,复方斑蝥胶囊
胸痛,平消片
胸痛,强力康颗粒
胸痛,平消片
胸痛,强力康颗粒
胸痛,平消片
胸痛,强力康颗粒
胸痛,汉防己甲素片
胸痛,盐酸妥洛特罗片
胸痛,季德胜蛇药片
胸痛,秘诀清凉散
胸痛,头孢氨苄胶囊
胸痛,甘草锌颗粒
胸痛,乳酸左氧氟沙星片
胸痛,阿奇霉素片
胸痛,苯磺酸氨氯地平胶囊
胸痛,银杏叶片
胸痛,单硝酸异山梨酯胶囊
胸痛,辛伐他汀片
胸痛,盐酸氨溴索分散片
胸痛,喷托维林氯化铵糖浆
胸痛,吡喹酮片
胸痛,布洛芬片
胸痛,阿司匹林片
胸痛,注射用过氧化碳酰胺
胸痛,阿苯达唑片
胸痛,吡喹酮片
胸痛,依托红霉素片
胸痛,罗红霉素分散片
胸痛,平消片
胸痛,注射用顺铂
胸痛,单硝酸异山梨酯胶囊
胸痛,辛伐他汀片
胸痛,头孢氨苄胶囊
胸痛,盐酸左氧氟沙星胶囊
胸痛,通脉养心丸
胸痛,宁心宝胶囊
胸痛,头孢氨苄胶囊
胸痛,盐酸左氧氟沙星胶囊
胸痛,香砂养胃丸
胸痛,马来酸曲美布汀分散片
胸痛,蛤蚧定喘丸
胸痛,氨茶碱片
胸痛,金刚藤口服液
胸痛,红金消结片
胸痛,硫唑嘌呤片
胸痛,胸腺肽肠溶片
胸痛,头孢氨苄胶囊
胸痛,盐酸左氧氟沙星胶囊
胸痛,川贝枇杷糖浆
胸痛,头孢氨苄胶囊
胸痛,珍珠末
胸痛,安乐片
胸痛,地奥司明片
胸痛,脉络舒通颗粒
胸痛,强肝片
胸痛,复方二氯醋酸二异丙胺片
胸痛,二十五味珊瑚丸
胸痛,盐酸胺碘酮片
胸痛,注射用过氧化碳酰胺
胸痛,盐酸普罗帕酮片
胸痛,盐酸美西律片
胸痛,盐酸普罗帕酮片
胸痛,盐酸美西律片
呼吸困难,人血白蛋白
呼吸困难,注射用还原型谷胱甘肽钠
呼吸困难,雷公藤多苷片
呼吸困难,甲泼尼龙片
呼吸困难,双嘧达莫片
呼吸困难,注射用尿激酶
呼吸困难,阿奇霉素片
呼吸困难,头孢克洛颗粒
呼吸困难,氨茶碱片
呼吸困难,呋塞米片
呼吸困难,盐酸金刚烷胺糖浆
呼吸困难,威麦宁胶囊
呼吸困难,转移因子口服溶液
呼吸困难,伏立康唑片
呼吸困难,盐酸伊曲康唑胶囊
呼吸困难,注射用鼠神经生长因子
呼吸困难,布美他尼片
呼吸困难,雷公藤多苷片
呼吸困难,甲泼尼龙片
呼吸困难,乳酸左氧氟沙星片
呼吸困难,阿奇霉素片
呼吸困难,尼可刹米注射液
呼吸困难,盐酸多沙普仑注射液
呼吸困难,利巴韦林分散片
呼吸困难,利巴韦林片
呼吸困难,尼可刹米注射液
呼吸困难,盐酸多沙普仑注射液
呼吸困难,地塞米松磷酸钠注射液
呼吸困难,盐酸肾上腺素注射液
呼吸困难,异烟肼片
呼吸困难,利福平胶囊
呼吸困难,头孢呋辛酯胶囊
呼吸困难,头孢羟氨苄颗粒
呼吸困难,乳酸左氧氟沙星片
呼吸困难,阿奇霉素片
呼吸困难,阿莫西林颗粒
呼吸困难,百合固金片
呼吸困难,注射用鼠神经生长因子
呼吸困难,布美他尼片
呼吸困难,注射用过氧化碳酰胺
呼吸困难,香菇多糖片
呼吸困难,甘露聚糖肽口服溶液
呼吸困难,维生素E软胶囊
呼吸困难,吡非尼酮胶囊
呼吸困难,注射用甲磺酸帕珠沙星
呼吸困难,醋酸泼尼松片
呼吸困难,清热消炎宁片
呼吸困难,吡非尼酮胶囊
呼吸困难,注射用甲磺酸帕珠沙星
呼吸困难,头孢氨苄胶囊
呼吸困难,盐酸左氧氟沙星胶囊
呼吸困难,蛇胆川贝液
呼吸困难,抗痨颗粒
呼吸困难,盐酸氨溴索注射液
呼吸困难,盐酸氨溴索葡萄糖注射液
呼吸困难,尼可刹米注射液
呼吸困难,樟脑磺酸钠注射液
呼吸困难,黄根片
呼吸困难,异烟肼片
呼吸困难,维生素E软胶囊
呼吸困难,蛤蚧定喘丸
呼吸困难,氨茶碱片
呼吸困难,氨茶碱片
呼吸困难,复方小儿退热栓
呼吸困难,泮托拉唑钠肠溶胶囊
呼吸困难,清热消炎宁片
呼吸困难,乳酸左氧氟沙星片
呼吸困难,阿奇霉素片
呼吸困难,头孢泊肟酯胶囊
呼吸困难,头孢氨苄甲氧苄啶片
呼吸困难,阿莫西林胶囊
呼吸困难,乙酰麦迪霉素干混悬剂
呼吸困难,呋塞米片
呼吸困难,硫酸阿托品注射液
呼吸困难,罗红霉素胶囊
呼吸困难,依托红霉素片
呼吸困难,噻托溴铵粉雾剂
呼吸困难,氨茶碱片
呼吸困难,云南白药
呼吸困难,盐酸左氧氟沙星胶囊
呼吸困难,蛇胆川贝液
呼吸困难,喷托维林氯化铵糖浆
呼吸困难,注射用硝普钠
呼吸困难,盐酸普萘洛尔片盐酸地尔硫
呼吸困难,同溢堂
呼吸困难,益安宁丸
呼吸困难,三磷酸腺苷二钠注射液
呼吸困难,维生素C片
呼吸困难,亚硒酸钠片
呼吸困难,屏风生脉胶囊
呼吸困难,参麦注射液
呼吸困难,单硝酸异山梨酯胶囊
呼吸困难,辛伐他汀片
呼吸困难,卡托普利片
呼吸困难,呋塞米片
呼吸困难,健心片
呼吸困难,三磷酸腺苷二钠片
呼吸困难,臌症丸
呼吸困难,芪芳气血颗粒
呼吸困难,归圆口服液
呼吸困难,琥乙红霉素咀嚼片
呼吸困难,琥乙红霉素咀嚼片
呼吸困难,苯妥英钠片
呼吸困难,盐酸普萘洛尔片
呼吸困难,琥乙红霉素咀嚼片
呼吸困难,注射用硝普钠
呼吸困难,盐酸胺碘酮片
呼吸困难,盐酸普罗帕酮片
呼吸困难,布美他尼片
呼吸困难,十一味金色丸
呼吸困难,布美他尼片
呼吸困难,十一味金色丸
呼吸困难,注射用鼠神经生长因子
呼吸困难,布美他尼片
呼吸困难,注射用鼠神经生长因子
呼吸困难,布美他尼片
呼吸困难,肝爽颗粒
呼吸困难,维肝福泰片
呼吸困难,布美他尼片
呼吸困难,十一味金色丸
呼吸困难,硫酸阿托品注射液
呼吸困难,盐酸消旋山莨菪碱注射液
呼吸困难,布美他尼片
呼吸困难,十一味金色丸
呼吸困难,布美他尼片
呼吸困难,十一味金色丸
呼吸困难,维生素C片
呼吸困难,注射用鼠神经生长因子
呼吸困难,布美他尼片
呼吸困难,(奥松)肚痛泻丸
呼吸困难,二十五味马宝丸
呼吸困难,注射用鼠神经生长因子
呼吸困难,布美他尼片
呼吸困难,颠茄片
呼吸困难,硫酸阿托品片
呼吸困难,注射用鼠神经生长因子
呼吸困难,布美他尼片
呼吸困难,小儿盐酸赖氨酸颗粒
呼吸困难,盐酸左氧氟沙星胶囊
呼吸困难,乳酸左氧氟沙星片
呼吸困难,布美他尼片
呼吸困难,十一味金色丸
呼吸困难,布美他尼片
呼吸困难,十一味金色丸
呼吸困难,强力康颗粒
呼吸困难,复方阿胶补血膏
呼吸困难,二十五味松石丸
呼吸困难,维生素C片
呼吸困难,注射用果糖二磷酸钠
呼吸困难,注射用头孢美唑钠
呼吸困难,布美他尼片
呼吸困难,十一味金色丸
呼吸困难,平消片
呼吸困难,强力康颗粒
呼吸困难,甲钴胺片
呼吸困难,注射用胸腺肽
呼吸困难,布美他尼片
呼吸困难,十一味金色丸
呼吸困难,硫酸阿托品注射液
呼吸困难,盐酸消旋山莨菪碱注射液
呼吸困难,布美他尼片
呼吸困难,十一味金色丸
呼吸困难,布美他尼片
呼吸困难,十一味金色丸
呼吸困难,复方托吡卡胺滴眼液
呼吸困难,托吡卡胺滴眼液
呼吸困难,硫唑嘌呤片
呼吸困难,溴吡斯的明片
呼吸困难,硫唑嘌呤片
呼吸困难,溴吡斯的明片
呼吸困难,复方托吡卡胺滴眼液
呼吸困难,托吡卡胺滴眼液
呼吸困难,五海瘿瘤丸
呼吸困难,小金丸
呼吸困难,平消片
呼吸困难,注射用顺铂
呼吸困难,盐酸左氧氟沙星片
呼吸困难,维生素B4片
呼吸困难,藻酸双酯钠片
呼吸困难,氨甲苯酸注射液
呼吸困难,依托红霉素片
呼吸困难,盐酸美他环素片
呼吸困难,醋酸泼尼松片
呼吸困难,醋酸地塞米松片
呼吸困难,醋酸可的松注射液
呼吸困难,醋酸可的松片
呼吸困难,祖师麻片
呼吸困难,痹祺胶囊
呼吸困难,吡嘧司特钾片
呼吸困难,盐酸羟甲唑啉喷雾剂
呼吸困难,红霉素肠溶片
呼吸困难,琥乙红霉素颗粒
呼吸困难,氢氯噻嗪片
呼吸困难,螺内酯片
呼吸困难,富马酸酮替芬片
呼吸困难,氨茶碱片
呼吸困难,注射用过氧化碳酰胺
呼吸困难,双嘧达莫片
呼吸困难,注射用尿激酶
呼吸困难,注射用过氧化碳酰胺
呼吸困难,阿苯达唑片
呼吸困难,阿苯达唑胶囊
呼吸困难,平消片
呼吸困难,强力康颗粒
呼吸困难,盐酸克林霉素棕榈酸酯干混悬剂
呼吸困难,盐酸克林霉素胶囊
呼吸困难,伤科跌打丸
呼吸困难,跌打丸
呼吸困难,卡托普利片
呼吸困难,盐酸贝那普利片
呼吸困难,硬脂酸红霉素片
呼吸困难,卡托普利片
呼吸困难,罗红霉素分散片
呼吸困难,红霉素肠溶片
呼吸困难,乳酸左氧氟沙星片
呼吸困难,阿奇霉素片
呼吸困难,威麦宁胶囊
呼吸困难,转移因子口服溶液
呼吸困难,依托红霉素片
呼吸困难,依托红霉素颗粒
呼吸困难,清脑降压片
呼吸困难,芦丁片
呼吸困难,异烟肼片
呼吸困难,利福平胶囊
呼吸困难,脑络通胶囊
呼吸困难,银杏达莫注射液
呼吸困难,尿嘧啶替加氟片
呼吸困难,注射用盐酸吉西他滨
呼吸困难,转移因子口服溶液
呼吸困难,环磷酰胺片
呼吸困难,止血镇痛胶囊
呼吸困难,利鲁唑片
呼吸困难,盐酸乙哌立松片
呼吸困难,布美他尼片
呼吸困难,十一味金色丸
呼吸困难,依诺沙星乳膏
呼吸困难,肠内营养混悬液(TPF)
呼吸困难,创灼膏
呼吸困难,盐酸左氧氟沙星片
呼吸困难,创灼膏
呼吸困难,盐酸左氧氟沙星片
呼吸困难,创灼膏
呼吸困难,盐酸左氧氟沙星片
呼吸困难,甲氨蝶呤片
呼吸困难,十六味马蔺子丸
呼吸困难,注射用盐酸平阳霉素
呼吸困难,羟基脲片
呼吸困难,左甲状腺素钠片
呼吸困难,注射用盐酸博莱霉素
呼吸困难,苦参碱氯化钠注射液
呼吸困难,顺铂注射液
呼吸困难,注射用盐酸平阳霉素
呼吸困难,强力康颗粒
呼吸困难,氨甲环酸注射液
呼吸困难,维生素E胶丸(天然型)
呼吸困难,维生素E胶丸
呼吸困难,三维葡磷钙咀嚼片
呼吸困难,鱼肝油乳
呼吸困难,注射用磷霉素钠
呼吸困难,头孢氨苄缓释片
呼吸困难,醋酸可的松注射液
呼吸困难,醋酸可的松片
呼吸困难,头孢氨苄胶囊
呼吸困难,慢严舒柠
呼吸困难,清喉利咽颗粒
呼吸困难,川贝枇杷糖浆
呼吸困难,头孢氨苄胶囊
呼吸困难,金嗓散结丸
呼吸困难,黄氏响声含片
呼吸困难,红草止鼾颗粒
呼吸困难,甲硝唑氯己定软膏
呼吸困难,盐酸左氧氟沙星胶囊
呼吸困难,乙酰螺旋霉素片
呼吸困难,醋酸泼尼松片
呼吸困难,依诺沙星乳膏
呼吸困难,京万红软膏
呼吸困难,盐酸左氧氟沙星胶囊
呼吸困难,片仔癀胶囊
呼吸困难,依托红霉素颗粒
呼吸困难,红霉素肠溶片
呼吸困难,头孢氨苄胶囊
呼吸困难,盐酸左氧氟沙星胶囊
呼吸困难,甲硝唑氯己定软膏
呼吸困难,红霉素肠溶片
呼吸困难,琥乙红霉素颗粒
呼吸困难,奥美拉唑肠溶胶囊
呼吸困难,多潘立酮片
呼吸困难,头孢氨苄胶囊
呼吸困难,盐酸左氧氟沙星胶囊
呼吸困难,盐酸氨溴索分散片
呼吸困难,头孢氨苄胶囊
呼吸困难,蛇胆川贝液
呼吸困难,抗痨颗粒
呼吸困难,复方磺胺甲噁唑片
呼吸困难,头孢泊肟酯片
呼吸困难,噻托溴铵粉雾剂
呼吸困难,氨茶碱片
呼吸困难,氟哌啶醇片
呼吸困难,奋乃静片
呼吸困难,头孢氨苄胶囊
呼吸困难,盐酸左氧氟沙星胶囊
呼吸困难,甲磺酸溴隐亭片
呼吸困难,醋酸奥曲肽注射液
呼吸困难,盐酸甲氯芬酯胶囊
呼吸困难,地塞米松磷酸钠注射液
呼吸困难,蛤蚧定喘丸
呼吸困难,氨茶碱片
呼吸困难,氟康唑胶囊
呼吸困难,氟康唑片
呼吸困难,头孢氨苄胶囊
呼吸困难,盐酸左氧氟沙星胶囊
呼吸困难,巴氯芬片
呼吸困难,益髓颗粒
呼吸困难,强力康颗粒
呼吸困难,苦参碱氯化钠注射液
呼吸困难,强力康颗粒
呼吸困难,苦参碱氯化钠注射液
呼吸困难,醋酸泼尼松片
呼吸困难,清热消炎宁片
呼吸困难,人用狂犬病疫苗(鸡胚细胞)
呼吸困难,人用狂犬病疫苗(Vero细胞)
呼吸困难,乳酸左氧氟沙星片
呼吸困难,阿奇霉素片
呼吸困难,乳酸左氧氟沙星片
呼吸困难,喷托维林氯化铵糖浆
呼吸困难,硬脂酸红霉素片
呼吸困难,丙酸氯倍他索乳膏
呼吸困难,哈西奈德溶液
呼吸困难,乳酸左氧氟沙星片
呼吸困难,阿奇霉素片
呼吸困难,蛤蚧定喘丸
呼吸困难,氨茶碱片
呼吸困难,头孢氨苄胶囊
呼吸困难,盐酸左氧氟沙星胶囊
呼吸困难,三磷酸腺苷二钠片
呼吸困难,盐酸地尔硫卓片
呼吸困难,硫唑嘌呤片
呼吸困难,溴吡斯的明片
呼吸困难,四环素片
呼吸困难,土霉素片
呼吸困难,清肺十八味丸
呼吸困难,氢化可的松注射液
呼吸困难,红霉素肠溶片
呼吸困难,琥乙红霉素颗粒
呼吸困难,醋酸泼尼松片
呼吸困难,马栗种子提取物片
呼吸困难,氢氯噻嗪片
呼吸困难,呋塞米注射液
呼吸困难,注射用左卡尼汀
呼吸困难,布美他尼片
呼吸困难,十一味金色丸
呼吸困难,氟康唑胶囊
呼吸困难,氟康唑片
呼吸困难,复方丹参滴丸
呼吸困难,脑心通胶囊
呼吸困难,健心片
呼吸困难,三磷酸腺苷二钠片
呼吸困难,氨茶碱片
呼吸困难,复方愈创木酚磺酸钾口服溶液
呼吸困难,呋塞米片
呼吸困难,氨茶碱片
呼吸困难,单硝酸异山梨酯胶囊
呼吸困难,辛伐他汀片
呼吸困难,安宫牛黄丸
呼吸困难,巴特日七味丸
呼吸困难,双嘧达莫片
呼吸困难,注射用盐酸罂粟碱
呼吸困难,甲巯咪唑片
呼吸困难,甲泼尼龙片
呼吸困难,肠内营养混悬液(TPF)
呼吸困难,整蛋白型肠内营养剂(粉剂)
呼吸困难,左甲状腺素钠片
