name,symptom,drug
肺出血－肾炎综合征,"['肺部出血', '呼吸困难', '咯血', '气短', '发热伴咳嗽、咯...', '蛋白尿']","['雷公藤多苷片', '注射用甲泼尼龙琥珀酸钠', '蒺藜药酒', '甲泼尼龙片']"
肺放线菌病,"['骨膜炎', '体重减轻', '咯血', '盗汗', '乏力', '低热']","['盐酸克林霉素棕榈酸酯分散片', '注射用美洛西林钠舒巴坦钠', '盐酸克林霉素棕榈酸酯颗粒', '盐酸克林霉素胶囊']"
肺泡蛋白沉着症,"['胸痛', '紫绀', '呼吸困难', '肺泡炎症', '肺泡灌洗液可见...', '乏力', '发热伴咳嗽、咯...']",[]
肺曲菌病,"['咳出棕色痰栓', '嗜酸性粒细胞增多', '胸痛']","['阿奇霉素胶囊', '阿奇霉素分散片', '诺氟沙星胶囊', '阿奇霉素片', '乳酸左氧氟沙星片']"
放射性肺炎,"['闫铁', '肺纤维化', '胸痛', '低热']","['阿奇霉素胶囊', '阿奇霉素分散片', '诺氟沙星胶囊', '阿奇霉素片', '乳酸左氧氟沙星片']"
肺念珠菌病,"['痰呈粘液脓性', '肺部啰音']","['硝酸咪康唑乳膏', '盐酸特比萘芬片', '酮康唑乳膏', '环吡酮胺乳膏', '硝酸益康唑溶液', '伊曲康唑胶囊', '克霉唑阴道片', '氟康唑胶囊', '硝酸益康唑乳膏', '盐酸特比萘芬凝胶', '盐酸特比萘芬溶液', '联苯苄唑乳膏', '转移因子口服溶液', '硝酸咪康唑栓']"
肺大疱,"['胸闷', '气短', '胸闷憋气', '发热伴咳嗽、咯...']",[]
肺炎球菌肺炎,"['痰中带血丝', '咳嗽伴胸痛', '胸痛', '发热伴咳嗽、咯...']","['氯霉素片', '阿奇霉素片', '阿奇霉素分散片', '阿奇霉素颗粒']"
肺气肿,"['纵隔浊音界扩大', '桶状胸', '小支气管粘膜水肿', '黏稠或脓性痰伴...', '横膈低平', '胸闷', '呼气音延长', '肺部啰音', '呼吸音减弱']","['祛痰止咳胶囊', '如意定喘丸', '硫酸特布他林雾化液', '茶碱缓释片', '氨茶碱片', '噻托溴铵粉吸入剂', '盐酸班布特罗胶囊', '白及颗粒', '氨溴特罗口服溶液', '化痰平喘片', '噻托溴铵粉雾剂', '盐酸妥洛特罗片', '茶碱缓释胶囊', '盐酸班布特罗片', '喘嗽宁片', '硫酸特布他林片', '肺气肿片', '复方蛤青胶囊']"
肺炎杆菌肺炎,"['畏寒', '胸痛', '气急', '发热伴咳嗽、咯...']","['氨苄西林胶囊', '头孢拉定胶囊', '通宣理肺丸', '阿莫西林颗粒', '头孢克洛颗粒', '盐酸左氧氟沙星胶囊', '头孢氨苄胶囊', '依托红霉素片', '蛤蚧定喘丸', '乙酰螺旋霉素片', '注射用头孢唑林钠', '头孢克肟颗粒', '头孢克肟分散片', '氟康唑胶囊', '麦迪霉素片', '司帕沙星分散片', '头孢丙烯分散片', '蛇胆川贝液', '头孢拉定分散片', '乳酸左氧氟沙星片']"
肺脓肿,"['胸痛', '肺内圆形实质性...', '肺部疼痛', '黏稠或脓性痰伴...', '横膈低平', '痰中带血丝', '脓痰', '要利琴', '咳嗽伴杵状指', '肺内空洞']","['盐酸克林霉素棕榈酸酯干混悬剂', '回生甘露丸', '桉柠蒎肠溶软胶囊', '4:1分散片', '金荞麦片', '盐酸克林霉素胶囊', '西黄胶囊', '甲硝唑维B6片', '阿莫西林克拉维酸钾片', '盐酸克林霉素棕榈酸酯分散片', '阿莫西林克拉维酸钾分散片']"
肺栓塞,"['右心衰竭', '胸痛', '呼吸困难', '咯血', '低血糖性低温症', '心律失常', '发绀', '大咯血', '恶性胸水', '心肺栓塞']","['注射用盐酸罂粟碱', '注射用尿激酶', '低分子肝素钠注射液', '注射用降纤酶', '双嘧达莫片', '肝素钠注射液']"
肺炎,"['呼气时两颊鼓起和缩唇', '咳泡沫黏液痰', '呼吸困难', '咳嗽伴胸痛', '咳痰', '咳嗽', '持续性发热', '咳铁锈色痰', '发热伴寒战', '恶性胸水']","['氨苄西林胶囊', '罗红霉素胶囊', '头孢拉定胶囊', '阿莫西林颗粒', '头孢克洛颗粒', '盐酸左氧氟沙星胶囊', '头孢氨苄胶囊', '桔贝合剂', '依托红霉素片', '乙酰螺旋霉素片', '麦迪霉素片', '头孢克肟颗粒', '司帕沙星分散片', '头孢丙烯分散片', '注射用头孢唑林钠', '阿奇霉素片', '加替沙星片', '乳酸左氧氟沙星片']"
肺大泡,"['胸闷', '气短', '呼吸困难', '胸闷憋气']",[]
肺水肿,"['湿啰音', '心血管堵塞', '肺通气一血流比例失调', '呼吸困难', '肺功能失常', '肺门阴影增多', '混合型酸碱平衡紊乱', '咳嗽伴呼吸困难', '端坐呼吸']","['呋塞米片', '氨茶碱片', '螺内酯片', '茶新那敏片']"
非典,"['畏寒', '持续性发热', '呼吸困难', '乏力']",['盐酸金刚烷胺糖浆']
肺转移瘤,"['吐血痰', '呼吸困难', '驻站医']","['氟尿嘧啶注射液', '汉防己甲素片', '威麦宁胶囊', '西黄丸', '肿节风胶囊', '消癌平片', '消癌平胶囊', '复方斑蝥胶囊', '阿魏化痞膏', '复方万年青胶囊', '清肺散结丸', '紫龙金片', '鲑降钙素注射液', '鹤蟾片', '转移因子口服溶液']"
肺炎性假瘤,"['胸痛', '低热', '咯血']","['托西酸舒他西林胶囊', '注射用盐酸头孢替安']"
肺隐球菌病,"['驻站医', '隐球菌囊膜多糖堆积', '痰呈粘液脓性', '呼吸困难', '低热', '发热伴咳嗽、咯...']","['注射用米卡芬净钠', '盐酸伊曲康唑胶囊', '注射用两性霉素B', '伊曲康唑颗粒', '伏立康唑片']"
肺癌,"['咳嗽伴体重减轻', '咯血伴胸痛', '肺部小结节', '黏稠或脓性痰伴...', '痰中带血丝', '种植播散', '发热伴咳嗽、咯...', '胸腔疼痛']","['氟尿嘧啶注射液', '注射用氨磷汀', '威麦宁胶囊', '西黄丸', '肿节风胶囊', '消癌平片', '消癌平胶囊', '复方斑蝥胶囊', '阿魏化痞膏', '复方万年青胶囊', '清肺散结丸', '紫龙金片', '转移因子口服溶液', '消癌平糖浆', '槐耳颗粒']"
镉中毒,"['咳嗽伴体重减轻', '呼吸困难', '指、趾甲显现苍...', '腹泻', '肺纹理增粗', '乏力', '发热伴寒战', '恶心', '消化不良', '咳嗽伴呼吸困难']","['布美他尼片', '十一味金色丸', '二十九味能消散', '盐酸利多卡因注射液', '注射用硫代硫酸钠', '注射用鼠神经生长因子', '仁青芒觉', '大月晶丸', '地塞米松磷酸钠注射液', '二维葡醛内酯片']"
感冒,"['头痛', '浑身忽冷忽热', '咽痛', '发烧', '咽喉干燥及灼热感', '流鼻涕', '鼻塞', '发热伴寒战', '情绪性感冒']","['头孢拉定胶囊', '阿莫西林颗粒', '抗病毒口服液', '洛索洛芬钠胶囊', '消炎片', '依托红霉素片', '酚咖片', '愈美胶囊', '蒲公英颗粒', '感冒灵颗粒', '风油精', '洛索洛芬钠片', '穿心莲片', '麻黄止嗽丸', '匹多莫德分散片', '头孢丙烯分散片', '伤风停胶囊', '银芩胶囊', '喉痛灵片', '肺宁片']"
感染性休克,"['低温性昏迷', '感染诱发昏迷', '脉搏细弱甚至不...', '面色苍白', '尿偏碱', '甲皱毛细血管袢数减少', '烦躁不安', '发热伴寒战', '肢端湿冷', '低血压']","['盐酸纳洛酮注射液', '生脉注射液', '人血白蛋白', '参附注射液', '氢溴酸东莨菪碱注射液']"
过敏性休克,"['口唇苍白', '晕厥', '意识模糊', '风团', '意识障碍', '心慌', '低血压']","['盐酸苯海拉明注射液', '盐酸纳洛酮注射液', '盐酸肾上腺素注射液', '盐酸多巴酚丁胺葡萄糖注射液', '氢化泼尼松注射液', '右旋糖酐40葡萄糖注射液', '注射用氢化可的松琥珀酸钠']"
Goodpasture综合征,"['肺部出血', '血尿', '呼吸困难', '肾衰竭', '咯血', '气短', '无尿', '发热伴咳嗽、咯...', '少尿', '蛋白尿']","['雷公藤多苷片', '注射用甲泼尼龙琥珀酸钠', '蒺藜药酒', '甲泼尼龙片']"
过敏性肺炎,"['无力', '呼吸困难', '变应性咳嗽', '食欲减退', '气短', '乏力', '喘息', '发绀', '咳嗽伴哮鸣音']","['阿奇霉素胶囊', '阿奇霉素分散片', '诺氟沙星胶囊', '阿奇霉素片', '乳酸左氧氟沙星片']"
汞中毒,"['汞毒性震颤', '腹泻', '眼晶体前房棕色光反射', '腹痛', '齿龈肿胀', '头昏', '恶心', '酩酊感', '脸红']","['布美他尼片', '十一味金色丸', '注射用布美他尼', '注射用呋塞米', '盐酸利多卡因注射液', '注射用硫代硫酸钠', '大月晶丸', '仁青芒觉', '注射用鼠神经生长因子', '地塞米松磷酸钠注射液']"
呼吸道异物,"['呼吸道狭窄', '声音嘶哑', '吞咽困难', '指甲特大有纵纹...', '甲状软骨下可触...', '呛咳', '气急']",[]
呼吸性细支气管相关的间质性肺疾病,"['疲劳', '胸痛', '呼吸衰竭', '蜂窝肺', '捻发音', '咯血', '肺纤维化']","['注射用盐酸头孢替安', '醋酸泼尼松片', '清热消炎宁片', '托西酸舒他西林胶囊', '头孢泊肟酯胶囊', '头孢氨苄甲氧苄啶片', '左羟丙哌嗪分散片']"
呼吸衰竭,"['上肺纤维化明显', '呼吸衰竭', '呼吸困难', '意识障碍', '指甲特大有纵纹...', '心脏功能突然失代偿', '混合型酸碱平衡紊乱', '气急', '扑翼样震颤']","['TPSPA', '盐酸多沙普仑注射液', '尼可刹米注射液', '樟脑磺酸钠注射液', '注射用盐酸二甲弗林', '注射用盐酸多沙普仑', '氧化樟脑注射液']"
呼吸道合胞病毒肺炎,"['鼻翼扇动', '呼吸困难', '鼻塞', '发热伴咳嗽、咯...']","['利巴韦林分散片', '利巴韦林片', '利巴韦林颗粒', '利巴韦林含片', '利巴韦林胶囊']"
减压病,"['丘疹', '瘙痒', '肌肉酸痛']","['注射用盐酸溴己新', '云南花粉片']"
急性呼吸衰竭,"['上肺纤维化明显', '心脏停搏', '呼吸衰竭', '无名指指甲凹陷', '心率增快', '呼吸困难', '呼吸性碱中毒', '气体弥散障碍', '抽搐', '心脏功能突然失代偿']","['盐酸多沙普仑注射液', '注射用过氧化碳酰胺', '尼可刹米注射液', '樟脑磺酸钠注射液']"
急性肺脓肿,"['咳泡沫黏液痰', '烂桃样血痰', '痰呈粘液脓性', '乏力', '痰黏稠或脓性可...', '痰呈白色黏稠胶冻状', '畏寒', '气急']","['盐酸克林霉素棕榈酸酯分散片', '注射用美洛西林钠舒巴坦钠', '盐酸克林霉素棕榈酸酯颗粒', '盐酸克林霉素胶囊']"
军团病,"['休克', '呼吸衰竭', '肌肉酸痛', '肌痛', '食欲减退', '神志不清', '乏力', '发绀', '恶心']","['罗红霉素胶囊', '克拉霉素胶囊', '克拉霉素片', '罗红霉素颗粒', '罗红霉素分散片', '利福平胶囊', '克拉霉素分散片', '罗红霉素干混悬剂']"
急性呼吸窘迫综合征,"['昏迷', '低氧血症', '呼吸衰竭', '肺纹理增多', '抬肩以助呼吸', '呼吸困难', '呼吸性碱中毒', '心源性呼吸窘迫', '口唇发绀', '二氧化碳潴留']","['盐酸肾上腺素注射液', '地塞米松磷酸钠注射液', '盐酸氨溴索葡萄糖注射液']"
军团菌病,"['肌肉酸痛', '腹泻', '肌痛', '血沉增快', '神志不清', '发绀', '眩晕', '少尿', '气急']","['罗红霉素胶囊', '克拉霉素胶囊', '克拉霉素片', '罗红霉素颗粒', '罗红霉素分散片', '利福平胶囊', '克拉霉素分散片', '罗红霉素干混悬剂']"
结核性脓胸,"['肋间隙变窄', '胸腔积液', '呼吸困难', '咯血', '胸闷', '脓痰', '心脏压塞征象']","['异烟肼片', '利福平胶囊']"
金黄色葡萄球菌肺炎,"['休克', '胸腔积液', '呼吸困难', '脓痰', '脓胸', '毒血症', '脓肿']","['头孢氨苄甲氧苄啶胶囊', '头孢泊肟酯片', '头孢羟氨苄甲氧苄啶胶囊', '头孢呋辛酯胶囊', '清热消炎宁片', '头孢羟氨苄颗粒', '头孢氨苄缓释胶囊', '头孢泊肟酯胶囊']"
咖啡因与氨茶碱中毒,"['昏迷', '血压下降', '谵妄', '耳鸣', '尿意窘迫', '烦躁不安', '腹痛', '头昏', '恶心', '惊厥']","['布美他尼片', '十一味金色丸', '注射用布美他尼', '注射用呋塞米', '盐酸利多卡因注射液', '注射用硫代硫酸钠', '大月晶丸', '仁青芒觉', '注射用鼠神经生长因子', '地塞米松磷酸钠注射液']"
卡氏肺囊虫肺炎,"['紫绀', '呼吸困难', '腹泻', '烦躁不安', '低热', '气胸', '消瘦']","['阿奇霉素胶囊', '阿奇霉素分散片', '诺氟沙星胶囊', '阿奇霉素片', '乳酸左氧氟沙星片']"
咯血,"['淋巴结肿大', '咯血伴胸痛', '咯血伴黄疸', '咯血伴呛咳', '咯血', '咯血伴发热', '要利琴', '窒息', '呼吸音减弱', '咯血伴有皮肤粘膜出血', '啰音']","['头孢克肟胶囊', '盐酸米诺环素胶囊', '司帕沙星片', '头孢克肟干混悬剂', '盐酸左氧氟沙星胶囊', '4:1分散片', '司帕沙星分散片', '头孢克肟分散片', '头孢克肟颗粒', '盐酸氨溴索缓释胶囊', '三七血伤宁散', '盐酸洛美沙星片', '愈酚溴新口服溶液', '盐酸克林霉素棕榈酸酯分散片']"
硫化氢中毒,"['昏迷', '咽喉干燥及灼热感', '流鼻涕', '胸闷', '乏力', '头晕', '结膜充血', '恶心', '眼睛痒', '咽喉部干燥刺痒']","['布美他尼片', '十一味金色丸', '二十九味能消散', '盐酸利多卡因注射液', '注射用硫代硫酸钠', '注射用鼠神经生长因子', '仁青芒觉', '大月晶丸', '地塞米松磷酸钠注射液', '二维葡醛内酯片']"
老年肺炎,"['发热伴有腹痛、...', '痰多', '咳嗽痰多', '腹泻', '呼吸困难', '食欲减退', '腹痛', '老人剧烈咳嗽', '铁锈色痰']","['止咳橘红口服液', '阿莫西林颗粒', '地红霉素肠溶片', '百合固金片', '地红霉素肠溶胶囊', '养阴清肺膏']"
流行性感冒,"['扁桃体充血', '咽喉干燥及灼热感', '咽痛', '咳声嘶哑', '鼻塞', '打喷嚏', '发热伴寒战', '恶心', '情绪性感冒']","['小儿止咳糖浆', '克感额日敦片', '对乙酰氨基酚缓释片', '抗病毒口服液', '利巴韦林片', '利巴韦林颗粒', '牛黄解毒片', '维C银翘胶囊', '二天油', '小柴胡颗粒', '感冒灵颗粒', '风油精', '穿心莲片', '酚咖片', '喉痛灵片', '银芩胶囊', '愈美胶囊', '伤风停胶囊', '藿香正气片', '玉屏风口服液']"
免疫缺陷者肺炎,"['肺栓塞', '免疫缺陷', '结节']","['氨苄西林胶囊', '头孢拉定胶囊', '通宣理肺丸', '阿莫西林颗粒', '头孢克洛颗粒', '盐酸左氧氟沙星胶囊', '头孢氨苄胶囊', '依托红霉素片', '蛤蚧定喘丸', '乙酰螺旋霉素片', '注射用头孢唑林钠', '头孢克肟颗粒', '头孢克肟分散片', '氟康唑胶囊', '麦迪霉素片', '司帕沙星分散片', '头孢丙烯分散片', '蛇胆川贝液', '头孢拉定分散片', '乳酸左氧氟沙星片']"
镍中毒,"['疱疹', '丘疹', '胸痛', '胸闷', '喘息']","['布美他尼片', '十一味金色丸', '二十九味能消散', '盐酸利多卡因注射液', '注射用硫代硫酸钠', '注射用鼠神经生长因子', '仁青芒觉', '大月晶丸', '地塞米松磷酸钠注射液', '二维葡醛内酯片']"
铍中毒,"['湿啰音', '疱疹', '丘疹', '肉芽肿', '呼吸困难', '气短', '肾损害', '头晕', '瘙痒']","['布美他尼片', '十一味金色丸', '二十九味能消散', '盐酸利多卡因注射液', '注射用硫代硫酸钠', '注射用鼠神经生长因子', '仁青芒觉', '大月晶丸', '地塞米松磷酸钠注射液', '二维葡醛内酯片']"
缺血缺氧性脑病,"['驻站医', '拥抱反射消失', '嗜睡', '呼吸不规则', '新生儿反应低下', '四肢肌张力增强', '吸吮反射消失', '肢体震颤', '反应迟钝', '睁眼昏迷', '惊厥']","['注射用盐酸赖氨酸', '脑苷肌肽注射液', '注射用烟酸占替诺', '盐酸甲氯芬酯胶囊', '注射用盐酸甲氯芬酯']"
气胸,"['液气胸', '肺泡破裂', '胸膜增厚', '胸痛伴呼吸困难', '呼吸困难', '胸膜休克', '胸膜粘连', '呼吸音减弱', '气急']",['注射用过氧化碳酰胺']
球孢子菌病,"['淋巴结肿大', '嗜酸性粒细胞增多', '慢性咳嗽', '中性粒细胞增高', '咳嗽伴胸痛', '低热', '发热伴咳嗽、咯...']","['伊曲康唑胶囊', '氟康唑胶囊', '氟康唑片', '伊曲康唑分散片']"
禽流感,"['休克', '驻站医', '肌肉酸痛', '腹泻', '咳嗽', '流鼻涕', '腹痛', '鼻塞', '发热伴寒战', '一过性的流感样症状']","['盐酸吗啉胍片', '羚羊感冒片']"
迁延性肺嗜酸粒细胞浸润症,"['哮鸣音', '体重减轻', '夜间盗汗', '盗汗', '乏力', '低热', '咳嗽伴哮鸣音']","['注射用盐酸头孢替安', '注射用磺苄西林钠', '托西酸舒他西林胶囊', '头孢泊肟酯胶囊', '头孢氨苄甲氧苄啶片']"
气管肿瘤,"['驻站医', '血丝痰', '声音嘶哑', '呼吸困难', '吞咽困难', '痰中带血丝', '咳嗽', '气短', '咳嗽伴呼吸困难']","['胸腺肽注射液', '甘露聚糖肽口服溶液', '香菇多糖片']"
气管先天性疾病,"['喂食困难', '食管瘘', '驻站医', '新生儿喉喘鸣', '三凹征', '呼吸困难', '发绀', '呛咳', '气急']",['维生素E软胶囊']
气管、支气管狭窄,"['湿啰音', '咳泡沫黏液痰', '呼吸困难', '呼吸音低', '喘息', '气喘', '气急', '啰音']",[]
乳酸性酸中毒,"['昏迷', '休克', '紫绀', '嗜睡', '心脏毒性作用', '木僵', '腹痛', '恶心', '神志模糊']","['复方碳酸氢钠片', '沙格列汀片', '注射用生长抑素', '碳酸氢钠注射液', '胰岛素注射液']"
热带性肺嗜酸粒细胞浸润症,"['淋巴结肿大', '乏力', '低热', '肺部啰音', '肺部可闻及干湿...']","['注射用盐酸头孢替安', '注射用磺苄西林钠', '托西酸舒他西林胶囊', '头孢泊肟酯胶囊', '头孢氨苄甲氧苄啶片']"
手术后和创伤后肺炎,"['湿啰音', '咳嗽伴胸痛', '脓痰', '手术创伤', '发热伴寒战', '发热伴咳嗽、咯...', '术后发热', '咳嗽伴呼吸困难', '啰音']","['氨苄西林胶囊', '头孢拉定胶囊', '通宣理肺丸', '阿莫西林颗粒', '头孢克洛颗粒', '盐酸左氧氟沙星胶囊', '头孢氨苄胶囊', '依托红霉素片', '蛤蚧定喘丸', '乙酰螺旋霉素片', '注射用头孢唑林钠', '头孢克肟颗粒', '头孢克肟分散片', '氟康唑胶囊', '麦迪霉素片', '司帕沙星分散片', '头孢丙烯分散片', '蛇胆川贝液', '头孢拉定分散片', '乳酸左氧氟沙星片']"
鼾症,"['打呼噜', '疲劳', '嗜睡', '睡眠节律紊乱', '心律失常', '睡眠呼吸暂停', '睡眠猝死']","['红草止鼾胶囊', '红草止鼾颗粒']"
特发性肺纤维化,"['一侧胸廓塌陷', '紫绀', '呼吸衰竭', '呼吸困难', '食欲不振', '脓痰', '消瘦', '端坐呼吸']","['吡非尼酮胶囊', '注射用甲磺酸帕珠沙星', '甲磺酸帕珠沙星氯化钠注射液', '甲磺酸帕珠沙星注射液']"
脱屑性间质性肺炎,"['无力', '心力衰竭', '紫绀', '体重减轻', '呼吸困难', '食欲减退', '肺源性呼吸困难']","['头孢氨苄甲氧苄啶片', '头孢泊肟酯胶囊', '醋酸泼尼松片', '清热消炎宁片']"
特发性阻塞性细支气管炎伴机化性肺炎,"['发烧', '咳嗽伴胸痛', '捻发音', '血沉增快', '乏力', '发热伴咳嗽、咯...', '消瘦']","['利巴韦林分散片', '盐酸左氧氟沙星胶囊', '消炎片', '注射用头孢唑林钠', '乙酰螺旋霉素片', '头孢拉定胶囊', '匹多莫德颗粒剂', '麦迪霉素片', '蛤蚧定喘丸', '头孢克肟颗粒', '蛇胆川贝液', '头孢克洛颗粒', '炎立消胶囊', '头孢氨苄胶囊', '头孢克肟分散片', '川贝枇杷糖浆', '头孢拉定分散片', '乳酸左氧氟沙星片', '氨苄西林胶囊', '阿莫西林颗粒', '羧甲司坦片']"
特发性含铁血黄素沉着症,"['含铁血黄素沉着症', '胸痛', '呼吸困难', '内出血', '咯血', '乏力', '低热']","['吡非尼酮胶囊', '注射用甲磺酸帕珠沙星', '甲磺酸帕珠沙星氯化钠注射液', '甲磺酸帕珠沙星注射液']"
外源性过敏性肺泡炎,"['肺间质纤维化', '呼吸衰竭', '体重减轻', '呼吸困难', '变应性咳嗽', '胸闷', '心动过速', '气急']","['氨苄西林胶囊', '头孢拉定胶囊', '通宣理肺丸', '阿莫西林颗粒', '头孢克洛颗粒', '盐酸左氧氟沙星胶囊', '头孢氨苄胶囊', '依托红霉素片', '蛤蚧定喘丸', '乙酰螺旋霉素片', '注射用头孢唑林钠', '头孢克肟颗粒', '头孢克肟分散片', '氟康唑胶囊', '麦迪霉素片', '司帕沙星分散片', '头孢丙烯分散片', '蛇胆川贝液', '头孢拉定分散片', '乳酸左氧氟沙星片']"
小儿结核病,"['疱疹', '血丝痰', '结核中毒', '淋巴结结核', '呼吸困难', '鼻部结核', '咯血', '免疫缺陷', '低热']","['利福喷丁胶囊', '抗痨颗粒', '回生甘露丸', '利肺片', '五海瘿瘤丸', '利肺胶囊', '黄柏胶囊', '异烟肼片', '白及颗粒', '三七血伤宁散', '洋参保肺胶囊', '麦味地黄口服液', '蛇胆川贝液', '勒马回胶囊']"
新生儿呼吸窘迫综合征,"['面色青紫', '新生儿青紫', '呼吸困难', '呼吸音减弱', '口鼻周围发绀', '急性呼吸困难', '鼻翼扇动', '新生儿发绀', '呼吸不规则', '唇部发绀']","['盐酸溴己新葡萄糖注射液', '盐酸氨溴索注射液', '注射用盐酸氨溴索', '盐酸氨溴索葡萄糖注射液', '猪肺磷脂注射液']"
吸入性损伤,"['中度吸入性损伤', '粘膜充血', '官爵银', '心率增快', '呼吸困难', '哮鸣音', '呼吸道阻塞', '呼吸音低', '气管隆突以上的损伤', '呼吸音减弱', '喉头水肿']","['TPSPA', '盐酸多沙普仑注射液', '尼可刹米注射液', '注射用1,6-二磷酸果糖', '樟脑磺酸钠注射液', '注射用盐酸二甲弗林', '注射用盐酸多沙普仑', '氧化樟脑注射液']"
小儿金黄色葡萄球菌肺炎,"['嗜睡', '猩红热样皮疹', '腹泻', '烦躁不安', '低热', '脓胸', '疖肿', '呼吸音减弱']","['羧甲司坦片', '肺力咳合剂', '头孢泊肟酯胶囊', '氨苄西林丙磺舒胶囊']"
小儿急性支气管炎,"['湿啰音', '疲劳', '细菌感染', '胸痛', '腹泻', '捻发音', '腹痛']","['小儿热咳口服液', '金振口服液', '小儿牛黄清肺片', '治咳枇杷露', '小儿肺热咳喘口服液', '小儿消咳片', '鲜竹沥', '小儿肺咳颗粒', '小青龙合剂', '小儿珍贝散', '羧甲司坦片', '阿奇霉素分散片', '小儿咳喘灵颗粒']"
小儿流行性感冒,"['小儿鼻塞', '小儿发烧后身上起红点', '咽痛', '嗜睡', '流鼻涕', '头昏', '畏寒', '啰音']","['对乙酰氨基酚栓', '对乙酰氨基酚片', '布洛芬混悬滴剂']"
小儿急性喉炎,"['无力', '发炎', '声音嘶哑', '发烧', '心音低钝', '犬吠样咳嗽', '咽喉部充血', '烦躁不安', '发绀']","['复方鱼腥草片', '复方鱼腥草滴丸', '莲芝消炎滴丸', '金栀咽喉袋泡茶', '小儿麻甘颗粒']"
矽肺,"['胸痛', '桶状胸', '呼吸困难', '食欲减退', '肺纤维化', '呼气音延长', '气短', '呼吸音减弱', '气急', '啰音']","['注射用过氧化碳酰胺', '儿童装', '桉柠蒎肠溶软胶囊', '成人装', '黄根片', '异烟肼片', '盐酸妥洛特罗片', '注射用盐酸溴己新', '矽肺宁片']"
新生儿窒息,"['出生后“四凹征”', '新生儿青紫', '呼吸抑制', '新生儿抽搐', '心律失常', '喘息', '呼吸浅慢', '新生儿心力衰竭', '新生儿发绀']","['盐酸洛贝林注射液', '盐酸海索那林片', '注射用细胞色素C', '细胞色素C注射液']"
小儿支原体肺炎,"['胸痛', '咽痛', '胸腔积液', '心包炎', '畏寒', '低热', '恶心', '呼吸音减弱', '厌食']","['琥乙红霉素片', '克拉霉素胶囊', '红霉素肠溶片', '琥乙红霉素颗粒']"
新生儿肺不张,"['低氧血症', '胸痛', '呼吸困难', '发绀', '心悸']",['维生素E软胶囊']
小儿感冒,"['无力', '小儿鼻塞', '小儿发烧后身上起红点', '咽痛', '扁桃体发炎', '流鼻涕', '鼻塞', '低热']","['对乙酰氨基酚栓', '对乙酰氨基酚片', '布洛芬混悬滴剂']"
