Symptom,noteatFood
胸痛,白扁豆
胸痛,猪油（板油）
胸痛,猪小排（猪肋排）
胸痛,猪里脊肉
胸痛,白扁豆
胸痛,猪油（板油）
胸痛,猪小排（猪肋排）
胸痛,猪里脊肉
胸痛,白扁豆
胸痛,猪油（板油）
胸痛,猪小排（猪肋排）
胸痛,猪肉(肥瘦)
胸痛,咸鸭蛋
胸痛,鸡肝
胸痛,杏仁
胸痛,腐竹
胸痛,咸鸭蛋
胸痛,鸡肝
胸痛,杏仁
胸痛,腐竹
胸痛,干腌菜
胸痛,白砂糖
胸痛,白酒
胸痛,鸭肉
胸痛,腐竹
胸痛,白扁豆
胸痛,淡菜(鲜)
胸痛,猪油（板油）
胸痛,腐竹
胸痛,白扁豆
胸痛,淡菜(鲜)
胸痛,猪油（板油）
胸痛,杏仁
胸痛,松子仁
胸痛,核桃
胸痛,腐竹
胸痛,啤酒
胸痛,白酒
胸痛,杏仁
胸痛,松子仁
胸痛,啤酒
胸痛,杏仁
胸痛,松子仁
胸痛,核桃
胸痛,核桃
胸痛,蟹黄
胸痛,虾皮
胸痛,螃蟹
胸痛,啤酒
胸痛,白酒
胸痛,杏仁
胸痛,松子仁
胸痛,白砂糖
胸痛,白酒
胸痛,鸡肝
胸痛,白扁豆
胸痛,鸡肝
胸痛,杏仁
胸痛,白扁豆
胸痛,银鱼
胸痛,啤酒
胸痛,白酒
胸痛,鸡肝
胸痛,杏仁
胸痛,鸡肝
胸痛,杏仁
胸痛,白扁豆
胸痛,银鱼
胸痛,啤酒
胸痛,黄酒
胸痛,白酒
胸痛,鸡肝
胸痛,干腌菜
胸痛,啤酒
胸痛,白酒
胸痛,杏仁
胸痛,干腌菜
胸痛,白酒
胸痛,杏仁
胸痛,南瓜子仁
胸痛,鹿肉
胸痛,南瓜子仁
胸痛,白果（鲜）
胸痛,绿豆
胸痛,南瓜子仁
胸痛,白果（鲜）
胸痛,绿豆
胸痛,黑豆
胸痛,啤酒
胸痛,南瓜子仁
胸痛,白果（鲜）
胸痛,绿豆
胸痛,银鱼
胸痛,小龙虾
胸痛,虾皮
胸痛,罗非鱼
胸痛,泥鳅
胸痛,海螺
胸痛,羊肝
胸痛,火腿
胸痛,杏仁
胸痛,松子仁
胸痛,核桃
胸痛,赤小豆
胸痛,杏仁
胸痛,核桃
胸痛,赤小豆
胸痛,白扁豆
胸痛,杏仁
胸痛,腐竹
胸痛,赤小豆
胸痛,白扁豆
胸痛,啤酒
胸痛,黄酒
胸痛,白酒
胸痛,杏仁
胸痛,鸡肉
胸痛,杏仁
胸痛,绿豆
胸痛,白扁豆
胸痛,杏仁
胸痛,白扁豆
胸痛,虾皮
胸痛,虾米
胸痛,啤酒
胸痛,黄酒
胸痛,白酒
胸痛,咸鸭蛋
胸痛,白酒
胸痛,咸鸭蛋
胸痛,鹅肉
胸痛,白扁豆
胸痛,啤酒
胸痛,白酒
胸痛,咸鸭蛋
胸痛,鹅肉
胸痛,咸鸭蛋
胸痛,鹅肉
胸痛,白扁豆
胸痛,咸鱼
胸痛,啤酒
胸痛,白酒
胸痛,咸鸭蛋
胸痛,鹅肉
胸痛,啤酒
胸痛,白酒
胸痛,咸鸭蛋
胸痛,鹅肉
胸痛,啤酒
胸痛,白酒
胸痛,咸鸭蛋
胸痛,鹅肉
胸痛,啤酒
胸痛,黄酒
胸痛,白酒
胸痛,咸鸭蛋
胸痛,白酒
胸痛,鹅肉
胸痛,油豆腐
胸痛,白扁豆
胸痛,面肥
胸痛,干腌菜
胸痛,腐竹
胸痛,白扁豆
胸痛,啤酒
胸痛,白酒
胸痛,鸭血(白鸭)
胸痛,绿豆
胸痛,啤酒
胸痛,白酒
胸痛,咸鸭蛋
胸痛,鸭血(白鸭)
胸痛,杏仁
胸痛,绿豆
胸痛,黑豆
胸痛,赤小豆
胸痛,啤酒
胸痛,白酒
胸痛,杏仁
胸痛,绿豆
胸痛,啤酒
胸痛,白酒
胸痛,咸鸭蛋
胸痛,鸡肉
胸痛,鸡肝
胸痛,赤小豆
胸痛,白扁豆
胸痛,河虾
胸痛,干腌菜
胸痛,啤酒
胸痛,白酒
胸痛,螃蟹
胸痛,啤酒
胸痛,白酒
胸痛,绿豆
胸痛,黑豆
胸痛,啤酒
胸痛,白酒
胸痛,绿豆
胸痛,黑豆
胸痛,啤酒
胸痛,白酒
胸痛,绿豆
胸痛,黑豆
胸痛,鸭血(白鸭)
胸痛,赤小豆
胸痛,白扁豆
胸痛,田螺
胸痛,啤酒
胸痛,白酒
胸痛,绿豆
胸痛,黑豆
胸痛,鸡翅
胸痛,赤小豆
胸痛,白扁豆
胸痛,螃蟹
胸痛,啤酒
胸痛,黄酒
胸痛,白酒
胸痛,绿豆
胸痛,赤小豆
胸痛,白扁豆
胸痛,河虾
胸痛,淡菜(鲜)
胸痛,干腌菜
胸痛,杏仁
胸痛,绿豆
胸痛,黑豆
胸痛,赤小豆
胸痛,白扁豆
胸痛,虾皮
胸痛,螃蟹
胸痛,白酒
胸痛,螃蟹
胸痛,蛤蜊
胸痛,猪肚
胸痛,白酒
胸痛,螃蟹
胸痛,蛤蜊
胸痛,猪肚
胸痛,啤酒
胸痛,红葡萄酒
胸痛,白酒
胸痛,螃蟹
胸痛,啤酒
胸痛,红葡萄酒
胸痛,白酒
胸痛,螃蟹
胸痛,啤酒
胸痛,白酒
胸痛,绿豆
胸痛,黑豆
胸痛,啤酒
胸痛,红葡萄酒
胸痛,白酒
胸痛,螃蟹
胸痛,啤酒
胸痛,红葡萄酒
胸痛,白酒
胸痛,螃蟹
胸痛,葵花子仁
胸痛,绿豆
胸痛,黑豆
胸痛,大豆
胸痛,绿豆
胸痛,黑豆
胸痛,赤小豆
胸痛,虾皮
胸痛,啤酒
胸痛,黄酒
胸痛,白酒
胸痛,绿豆
胸痛,啤酒
胸痛,咸鸭蛋
胸痛,绿豆
胸痛,黑豆
胸痛,啤酒
胸痛,白酒
胸痛,腐竹
胸痛,白扁豆
胸痛,腐竹
胸痛,白扁豆
胸痛,螃蟹
胸痛,河蚌
胸痛,腐竹
胸痛,白扁豆
胸痛,螃蟹
胸痛,海蜇头
胸痛,腐竹
胸痛,白扁豆
胸痛,螃蟹
胸痛,龙虾
胸痛,腐竹
胸痛,白扁豆
胸痛,螃蟹
胸痛,蛤蜊
胸痛,腐竹
胸痛,白扁豆
胸痛,螃蟹
胸痛,蛤蜊
胸痛,腐竹
胸痛,白扁豆
胸痛,螃蟹
胸痛,河蚌
胸痛,绿豆
胸痛,黑豆
胸痛,赤小豆
胸痛,虾皮
胸痛,冰糖
胸痛,白砂糖
胸痛,花生（炒）
胸痛,白扁豆
胸痛,鸭蛋
胸痛,鸭血(白鸭)
胸痛,鸭肉
胸痛,松子仁
胸痛,啤酒
胸痛,赤小豆
胸痛,白扁豆
胸痛,海虾
胸痛,干腌菜
胸痛,白酒
胸痛,松子仁
胸痛,核桃
胸痛,白砂糖
胸痛,花生（炒）
胸痛,白扁豆
胸痛,螃蟹
胸痛,啤酒
胸痛,白酒
胸痛,松子仁
胸痛,核桃
胸痛,白砂糖
胸痛,花生（炒）
胸痛,白扁豆
胸痛,螃蟹
胸痛,白酒
胸痛,鸭蛋
胸痛,鸭血(白鸭)
胸痛,鸭肉
胸痛,鹿肉
胸痛,啤酒
胸痛,白酒
胸痛,鸡肝
胸痛,鹿肉
胸痛,鸡肝
胸痛,杏仁
胸痛,虾皮
胸痛,白砂糖
胸痛,花生（炒）
胸痛,白扁豆
胸痛,咸鱼
胸痛,鹿肉
胸痛,鸡肝
胸痛,杏仁
胸痛,虾皮
胸痛,麦芽糖
胸痛,蜂蜜
胸痛,鸡肝
胸痛,腐竹
胸痛,白砂糖
胸痛,花生（炒）
胸痛,白扁豆
胸痛,螃蟹
胸痛,鸭蛋
胸痛,鸭肉
胸痛,螃蟹
胸痛,龙虾
胸痛,鸭蛋
胸痛,鸭肉
胸痛,白扁豆
胸痛,螃蟹
胸痛,啤酒
胸痛,白酒
胸痛,鸭血(白鸭)
胸痛,绿豆
胸痛,鸡肝
胸痛,腐竹
胸痛,白扁豆
胸痛,田螺
胸痛,鸡肝
胸痛,腐竹
胸痛,白扁豆
胸痛,田螺
胸痛,猪肉(肥)
胸痛,辣椒(红、尖、干)
胸痛,咖啡
胸痛,白酒
胸痛,猪油（板油）
胸痛,红辣椒
胸痛,咖啡
胸痛,咸鸭蛋
胸痛,油豆腐
胸痛,赤小豆
胸痛,咸鱼
胸痛,干腌菜
胸痛,啤酒
胸痛,白酒
胸痛,咸鸭蛋
胸痛,白酒
胸痛,猪肉(肥瘦)
胸痛,牛肉(肥瘦)
胸痛,肥膘肉
胸痛,白酒
胸痛,猪肉(肥瘦)
胸痛,猪肉(肥)
胸痛,肥膘肉
胸痛,啤酒
胸痛,白酒
胸痛,鸭血(白鸭)
胸痛,田螺
胸痛,白酒
胸痛,鸭血(白鸭)
胸痛,田螺
胸痛,蛏子
胸痛,白酒
胸痛,鸭血(白鸭)
胸痛,虾皮
胸痛,虾米
胸痛,鸭血(白鸭)
胸痛,绿豆
胸痛,田螺
胸痛,淡菜(鲜)
胸痛,鸭血(白鸭)
胸痛,绿豆
胸痛,田螺
胸痛,淡菜(鲜)
胸痛,干腌菜
胸痛,咸鸭蛋
胸痛,咸鱼
胸痛,咸肉
胸痛,鸭血(白鸭)
胸痛,鸡爪
胸痛,鸡翅
胸痛,鹅肉
胸痛,鸭血(白鸭)
胸痛,鸡爪
胸痛,鸡翅
胸痛,鹅肉
胸痛,白酒
胸痛,红辣椒
胸痛,咖啡
胸痛,咖喱
胸痛,干腌菜
胸痛,啤酒
胸痛,白酒
胸痛,油豆腐
胸痛,红葡萄酒
胸痛,鸭血(白鸭)
胸痛,鸡爪
胸痛,鸡翅
胸痛,黄酒
胸痛,田螺
胸痛,淡菜(鲜)
胸痛,蛏子
胸痛,蜂蜜
胸痛,啤酒
胸痛,红葡萄酒
胸痛,白酒
胸痛,螺丝菜
胸痛,干腌菜
胸痛,蜂蜜
胸痛,啤酒
胸痛,黄酒
胸痛,白酒
胸痛,栗子（熟）
胸痛,田螺
胸痛,干腌菜
胸痛,蜂蜜
胸痛,啤酒
胸痛,白酒
胸痛,田螺
胸痛,淡菜(鲜)
胸痛,猪脑
胸痛,猪肚
胸痛,干腌菜
胸痛,蜂蜜
胸痛,啤酒
胸痛,白酒
胸痛,田螺
胸痛,淡菜(鲜)
胸痛,猪脑
胸痛,猪肚
胸痛,螺丝菜
胸痛,干腌菜
胸痛,蜂蜜
胸痛,啤酒
胸痛,江米酒
胸痛,白酒
胸痛,田螺
胸痛,淡菜(鲜)
胸痛,螺丝菜
胸痛,干腌菜
胸痛,蜂蜜
胸痛,啤酒
胸痛,咸鸭蛋
胸痛,油豆腐
胸痛,咸鱼
胸痛,螃蟹
胸痛,白酒
胸痛,田螺
胸痛,淡菜(鲜)
胸痛,猪脑
胸痛,干腌菜
胸痛,蜂蜜
胸痛,啤酒
胸痛,红葡萄酒
胸痛,白酒
胸痛,咸鸭蛋
胸痛,鳕鱼
胸痛,咸鱼
胸痛,啤酒
胸痛,红葡萄酒
胸痛,白酒
胸痛,咸鸭蛋
胸痛,螺丝菜
胸痛,干腌菜
胸痛,啤酒
胸痛,红葡萄酒
胸痛,螺丝菜
胸痛,干腌菜
胸痛,白酒
胸痛,咸鸭蛋
胸痛,啤酒
胸痛,白酒
胸痛,咸鸭蛋
胸痛,花生仁（炸）
胸痛,啤酒
胸痛,江米酒
胸痛,白酒
胸痛,淡菜(鲜)
胸痛,咸鸭蛋
胸痛,莲子
胸痛,花生仁（炸）
胸痛,咸鱼
胸痛,啤酒
胸痛,江米酒
胸痛,白酒
胸痛,淡菜(鲜)
胸痛,田螺
胸痛,沙丁鱼
胸痛,三文鱼
胸痛,海虾
胸痛,啤酒
胸痛,白酒
胸痛,虾米
胸痛,淡菜(鲜)
胸痛,白酒
胸痛,咸鸭蛋
胸痛,花生仁（炸）
胸痛,咸鱼
胸痛,黄酒
胸痛,白酒
胸痛,咸鸭蛋
胸痛,花生仁（炸）
胸痛,啤酒
胸痛,白酒
胸痛,咸鸭蛋
胸痛,花生仁（炸）
胸痛,啤酒
胸痛,白酒
胸痛,河蚌
胸痛,淡菜(鲜)
胸痛,杏仁
胸痛,腐竹
胸痛,沙丁鱼
胸痛,三文鱼
胸痛,干腌菜
胸痛,白酒
胸痛,咸鸭蛋
胸痛,杏仁
胸痛,干腌菜
胸痛,咸鸭蛋
胸痛,油皮
胸痛,油豆腐
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,洋葱
呼吸困难,辣椒(红、尖、干)
呼吸困难,竹笋
呼吸困难,辣椒(青、尖)
呼吸困难,辣椒(红、尖、干)
呼吸困难,韭菜
呼吸困难,海蟹
呼吸困难,海虾
呼吸困难,狗肉
呼吸困难,鱼腥草
呼吸困难,杏仁
呼吸困难,腐竹
呼吸困难,白扁豆
呼吸困难,猪油（板油）
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,杏仁
呼吸困难,油豆腐
呼吸困难,螃蟹
呼吸困难,海蟹
呼吸困难,海虾
呼吸困难,羊肉(后腿)
呼吸困难,海蟹
呼吸困难,海虾
呼吸困难,狗肉
呼吸困难,鱼腥草
呼吸困难,白酒
呼吸困难,杏仁
呼吸困难,腐竹
呼吸困难,海蟹
呼吸困难,白扁豆
呼吸困难,沙丁鱼
呼吸困难,猪油（板油）
呼吸困难,猪小排（猪肋排）
呼吸困难,白扁豆
呼吸困难,蟹黄
呼吸困难,猪油（板油）
呼吸困难,猪小排（猪肋排）
呼吸困难,白扁豆
呼吸困难,海蟹
呼吸困难,海虾
呼吸困难,海螺
呼吸困难,白扁豆
呼吸困难,海蟹
呼吸困难,海虾
呼吸困难,海螺
呼吸困难,白酒
呼吸困难,花生
呼吸困难,白扁豆
呼吸困难,海蟹
呼吸困难,白扁豆
呼吸困难,猪油（板油）
呼吸困难,猪小排（猪肋排）
呼吸困难,猪里脊肉
呼吸困难,白酒
呼吸困难,白扁豆
呼吸困难,猪油（板油）
呼吸困难,猪小排（猪肋排）
呼吸困难,白酒
呼吸困难,白扁豆
呼吸困难,猪油（板油）
呼吸困难,猪小排（猪肋排）
呼吸困难,麦芽糖
呼吸困难,赤砂糖
呼吸困难,白砂糖
呼吸困难,啤酒
呼吸困难,白扁豆
呼吸困难,海蟹
呼吸困难,海虾
呼吸困难,海螺
呼吸困难,白扁豆
呼吸困难,猪油（板油）
呼吸困难,猪小排（猪肋排）
呼吸困难,猪里脊肉
呼吸困难,白扁豆
呼吸困难,猪油（板油）
呼吸困难,猪小排（猪肋排）
呼吸困难,猪里脊肉
呼吸困难,白扁豆
呼吸困难,猪油（板油）
呼吸困难,猪小排（猪肋排）
呼吸困难,猪里脊肉
呼吸困难,白扁豆
呼吸困难,猪油（板油）
呼吸困难,猪小排（猪肋排）
呼吸困难,猪里脊肉
呼吸困难,白扁豆
呼吸困难,猪油（板油）
呼吸困难,猪小排（猪肋排）
呼吸困难,猪里脊肉
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,白扁豆
呼吸困难,猪油（板油）
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,白扁豆
呼吸困难,猪油（板油）
呼吸困难,白扁豆
呼吸困难,猪油（板油）
呼吸困难,猪小排（猪肋排）
呼吸困难,猪里脊肉
呼吸困难,白扁豆
呼吸困难,猪油（板油）
呼吸困难,猪小排（猪肋排）
呼吸困难,猪蹄
呼吸困难,杏仁
呼吸困难,白扁豆
呼吸困难,猪油（板油）
呼吸困难,猪小排（猪肋排）
呼吸困难,蜂蜜
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,鸭
呼吸困难,蜂蜜
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,白扁豆
呼吸困难,白扁豆
呼吸困难,海蟹
呼吸困难,海虾
呼吸困难,海螺
呼吸困难,啤酒
呼吸困难,黄酒
呼吸困难,白酒
呼吸困难,白扁豆
呼吸困难,白扁豆
呼吸困难,猪油（板油）
呼吸困难,猪小排（猪肋排）
呼吸困难,猪肉(肥瘦)
呼吸困难,白扁豆
呼吸困难,猪油（板油）
呼吸困难,猪小排（猪肋排）
呼吸困难,猪肉(肥瘦)
呼吸困难,腐竹
呼吸困难,白扁豆
呼吸困难,猪油（板油）
呼吸困难,猪小排（猪肋排）
呼吸困难,咸鸭蛋
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,腐竹
呼吸困难,咸鸭蛋
呼吸困难,鹌鹑蛋
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,咸鸭蛋
呼吸困难,鸡腿
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,咸鸭蛋
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,腐竹
呼吸困难,咸鸭蛋
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,腐竹
呼吸困难,咸鸭蛋
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,腐竹
呼吸困难,白酒
呼吸困难,杏仁
呼吸困难,腐竹
呼吸困难,白扁豆
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,咸鸭蛋
呼吸困难,腐竹
呼吸困难,干腌菜
呼吸困难,杏仁
呼吸困难,松子仁
呼吸困难,核桃
呼吸困难,杏仁
呼吸困难,松子仁
呼吸困难,核桃
呼吸困难,腐竹
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,咸鸭蛋
呼吸困难,杏仁
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,杏仁
呼吸困难,松子仁
呼吸困难,杏仁
呼吸困难,松子仁
呼吸困难,核桃
呼吸困难,虾皮
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,杏仁
呼吸困难,松子仁
呼吸困难,鸭肉
呼吸困难,鸡腿
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,咸鸭蛋
呼吸困难,鸡蛋黄
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,冰糖
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,鸡肝
呼吸困难,鹌鹑蛋
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,白扁豆
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,白扁豆
呼吸困难,银鱼
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,白扁豆
呼吸困难,银鱼
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,腐竹
呼吸困难,白扁豆
呼吸困难,冰糖
呼吸困难,鸡蛋黄
呼吸困难,鸡肝
呼吸困难,白扁豆
呼吸困难,白酒
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,白扁豆
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,白扁豆
呼吸困难,银鱼
呼吸困难,白酒
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,油豆腐
呼吸困难,啤酒
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,白扁豆
呼吸困难,鸡蛋黄
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,白扁豆
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,白扁豆
呼吸困难,银鱼
呼吸困难,干腌菜
呼吸困难,白扁豆
呼吸困难,银鱼
呼吸困难,沙丁鱼
呼吸困难,白酒
呼吸困难,鸭血(白鸭)
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,花生仁（炸）
呼吸困难,白扁豆
呼吸困难,鸡肝
呼吸困难,杏仁
呼吸困难,花生仁（炸）
呼吸困难,白扁豆
呼吸困难,鹌鹑蛋
呼吸困难,鸡腿
呼吸困难,杏仁
呼吸困难,松子（炒）
呼吸困难,干腌菜
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,鹌鹑蛋
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,鹌鹑蛋
呼吸困难,鸡腿
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,杏仁
呼吸困难,南瓜子仁
呼吸困难,白酒
呼吸困难,南瓜子仁
呼吸困难,白果（鲜）
呼吸困难,绿豆
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,南瓜子仁
呼吸困难,白果（鲜）
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,南瓜子仁
呼吸困难,白果（鲜）
呼吸困难,白酒
呼吸困难,南瓜子仁
呼吸困难,核桃
呼吸困难,白果（鲜）
呼吸困难,松花蛋（鸭蛋）
呼吸困难,绿豆
呼吸困难,黑豆
呼吸困难,银鱼
呼吸困难,南瓜子仁
呼吸困难,白果（鲜）
呼吸困难,银鱼
呼吸困难,小龙虾
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,南瓜子仁
呼吸困难,白果（鲜）
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,南瓜子仁
呼吸困难,白果（鲜）
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,南瓜子仁
呼吸困难,白果（鲜）
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,南瓜子仁
呼吸困难,白果（鲜）
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,鸭掌
呼吸困难,南瓜子仁
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,鸭掌
呼吸困难,南瓜子仁
呼吸困难,泥鳅
呼吸困难,海螺
呼吸困难,羊肝
呼吸困难,火腿
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,咸鸭蛋
呼吸困难,鸭掌
呼吸困难,白酒
呼吸困难,田螺
呼吸困难,螃蟹
呼吸困难,泥鳅
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,鸭血(白鸭)
呼吸困难,绿豆
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,咸鸭蛋
呼吸困难,鸭血(白鸭)
呼吸困难,乌骨鸡
呼吸困难,芝麻
呼吸困难,杏仁
呼吸困难,松子仁
呼吸困难,黄酒
呼吸困难,白酒
呼吸困难,咸鸭蛋
呼吸困难,乌骨鸡
呼吸困难,黄酒
呼吸困难,乌骨鸡
呼吸困难,螃蟹
呼吸困难,草鱼
呼吸困难,鹿肉
呼吸困难,白酒
呼吸困难,鹅肉
呼吸困难,杏仁
呼吸困难,鹿肉
呼吸困难,杏仁
呼吸困难,腐竹
呼吸困难,白扁豆
呼吸困难,鹿肉
呼吸困难,杏仁
呼吸困难,白扁豆
呼吸困难,虾皮
呼吸困难,干腌菜
呼吸困难,啤酒
呼吸困难,白酒
呼吸困难,腐竹
呼吸困难,啤酒
呼吸困难,白酒
